x,y
Health store transaction - 99738,Pharmacy
Vegetable market transaction - 20768,Groceries
Payment to Italian restaurant - 59929,Restaurants
Prescription payment - 47729,Pharmacy
Water bill payment - 10790,Utilities
Streaming service payment - 25022,Entertainment
Vegetable market transaction - 03688,Groceries
Utility bill payment - 00036,Utilities
Medicine purchase - 45085,Pharmacy
Mobile phone store purchase - 17281,Shopping
Gas station transaction - 86261,Gas
Prescription payment - 50707,Pharmacy
Weekly grocery shopping - 08850,Groceries
Netflix subscription payment - 15102,Entertainment
Account transfer - 86042,Transfer-Out
Starbucks coffee purchase - 63983,Restaurants
Vegetable market transaction - 03215,Groceries
Grocery store purchase - 23777,Shopping
Paycheck deposit - 35617,Salary
Shoe store purchase - 99596,Shopping
Interest deposit - 78504,Interest Income
Medical supplies purchase - 42822,Pharmacy
Netflix subscription payment - 23964,Entertainment
Bank interest payment - 05034,Interest Income
Theme park ticket purchase - 72899,Entertainment
Theme park ticket purchase - 66673,Entertainment
Shoe store purchase - 45148,Shopping
Concert tickets purchase - 80125,Entertainment
Electricity bill payment - 10469,Utilities
Petrol station purchase - 89934,Gas
Medicine purchase - 71885,Pharmacy
Transfer to savings account - 90734,Transfer-Out
Savings account interest - 74777,Interest Income
Bank wire transfer - 08536,Transfer-Out
Bank interest payment - 45590,Interest Income
Organic store purchase - 35858,Groceries
Bank interest payment - 33118,Interest Income
Theme park ticket purchase - 55602,Entertainment
Amazon online purchase - 24829,Shopping
Transfer to savings account - 96128,Transfer-Out
Fuel purchase at gas station - 50851,Gas
Electricity bill payment - 32944,Utilities
Gas refill payment - 21784,Gas
Savings account interest - 28971,Interest Income
Monthly salary deposit - 72013,Salary
Gas utility payment - 60680,Utilities
Grocery store purchase - 38680,Shopping
Lunch at sushi bar - 13962,Restaurants
Gas refill payment - 87218,Gas
Medicine purchase - 00521,Pharmacy
Bank interest payment - 66235,Interest Income
Fuel payment - 88646,Gas
Account transfer - 52298,Transfer-Out
Organic store purchase - 93614,Groceries
Monthly salary deposit - 33188,Salary
Gas utility payment - 42258,Utilities
Interest income received - 53648,Interest Income
Savings account interest - 20426,Interest Income
Starbucks coffee purchase - 42857,Restaurants
Grocery store purchase - 61590,Shopping
Interest income received - 73370,Interest Income
Fast food purchase - 25983,Restaurants
Netflix subscription payment - 89327,Entertainment
Payment to Italian restaurant - 87557,Restaurants
Lunch at sushi bar - 20660,Restaurants
Mobile phone store purchase - 61720,Shopping
Grocery store purchase - 77408,Shopping
Money sent to friend - 05388,Transfer-Out
Income from employer - 50222,Salary
Family money transfer - 34242,Transfer-Out
Vegetable market transaction - 53979,Groceries
Pharmacy store purchase - 45074,Pharmacy
Gas utility payment - 13160,Utilities
Medicine purchase - 29504,Pharmacy
Gas utility payment - 75272,Utilities
Weekly grocery shopping - 80658,Groceries
Grocery store payment - 77536,Groceries
Income from employer - 75890,Salary
Mobile phone store purchase - 63717,Shopping
Gas station transaction - 49041,Gas
Prescription payment - 18401,Pharmacy
Weekly grocery shopping - 56361,Groceries
Medicine purchase - 89364,Pharmacy
Netflix subscription payment - 97815,Entertainment
Electricity bill payment - 31490,Utilities
Concert tickets purchase - 65304,Entertainment
Fuel purchase at gas station - 35269,Gas
Weekly grocery shopping - 88536,Groceries
Bank interest payment - 56251,Interest Income
Netflix subscription payment - 15156,Entertainment
Bank interest payment - 58697,Interest Income
Family money transfer - 20229,Transfer-Out
Money sent to friend - 14009,Transfer-Out
Petrol station purchase - 84437,Gas
Streaming service payment - 37738,Entertainment
Payroll deposit - 06216,Salary
Grocery store payment - 85476,Groceries
Prescription payment - 61887,Pharmacy
Income from employer - 25993,Salary
Fuel purchase at gas station - 13153,Gas
Salary payment - 50266,Salary
Interest income received - 97205,Interest Income
Brunch payment - 96448,Restaurants
Pharmacy store purchase - 00817,Pharmacy
Fuel purchase at gas station - 48060,Gas
Grocery store purchase - 28673,Shopping
Paycheck deposit - 95959,Salary
Savings account interest - 86085,Interest Income
Supermarket groceries purchase - 10664,Groceries
Starbucks coffee purchase - 23356,Restaurants
Family money transfer - 09103,Transfer-Out
Lunch at sushi bar - 72307,Restaurants
Netflix subscription payment - 86917,Entertainment
Fuel payment - 07113,Gas
Concert tickets purchase - 21924,Entertainment
Mobile phone store purchase - 33758,Shopping
Fuel purchase at gas station - 95159,Gas
Bank interest payment - 66239,Interest Income
Health store transaction - 07240,Pharmacy
Grocery store purchase - 61153,Shopping
Interest deposit - 93139,Interest Income
Gas refill payment - 43913,Gas
Gas refill payment - 57465,Gas
Savings account interest - 42764,Interest Income
Bank interest payment - 09299,Interest Income
Mobile phone store purchase - 42551,Shopping
Fuel payment - 89919,Gas
Gas station transaction - 67007,Gas
Fuel payment - 41018,Gas
Weekly grocery shopping - 02202,Groceries
Health store transaction - 01053,Pharmacy
Theme park ticket purchase - 68770,Entertainment
Fuel payment - 71788,Gas
Interest deposit - 30475,Interest Income
Streaming service payment - 12350,Entertainment
Family money transfer - 96112,Transfer-Out
Interest income received - 36423,Interest Income
Electricity bill payment - 29135,Utilities
Mobile phone store purchase - 83764,Shopping
Lunch at sushi bar - 35344,Restaurants
Savings account interest - 73266,Interest Income
Gas utility payment - 34353,Utilities
Gas refill payment - 53613,Gas
Account transfer - 18740,Transfer-Out
Supermarket groceries purchase - 14386,Groceries
Organic store purchase - 32851,Groceries
Income from employer - 03653,Salary
Fast food purchase - 72007,Restaurants
Utility bill payment - 83469,Utilities
Medical supplies purchase - 40319,Pharmacy
Mobile phone store purchase - 57363,Shopping
Interest income received - 17770,Interest Income
Interest income received - 75965,Interest Income
Movie theater tickets - 34747,Entertainment
Fuel payment - 50312,Gas
Brunch payment - 27624,Restaurants
Monthly salary deposit - 20302,Salary
Family money transfer - 56339,Transfer-Out
Starbucks coffee purchase - 33447,Restaurants
Streaming service payment - 66208,Entertainment
Mobile phone store purchase - 53293,Shopping
Weekly grocery shopping - 44156,Groceries
Family money transfer - 47727,Transfer-Out
Theme park ticket purchase - 91680,Entertainment
Concert tickets purchase - 95117,Entertainment
Interest deposit - 47453,Interest Income
Monthly salary deposit - 66665,Salary
Prescription payment - 24729,Pharmacy
Gas station transaction - 40876,Gas
Mobile phone store purchase - 54410,Shopping
Concert tickets purchase - 65054,Entertainment
Starbucks coffee purchase - 61669,Restaurants
Fast food purchase - 86588,Restaurants
Gas refill payment - 38199,Gas
Paycheck deposit - 28242,Salary
Family money transfer - 97951,Transfer-Out
Account transfer - 89270,Transfer-Out
Brunch payment - 89804,Restaurants
Vegetable market transaction - 17650,Groceries
Electricity bill payment - 23873,Utilities
Prescription payment - 41128,Pharmacy
Electronics store purchase - 36124,Shopping
Supermarket groceries purchase - 36477,Groceries
Weekly grocery shopping - 24765,Groceries
Transfer to savings account - 71223,Transfer-Out
Salary payment - 37537,Salary
Grocery store payment - 76123,Groceries
Movie theater tickets - 85103,Entertainment
Medical supplies purchase - 46131,Pharmacy
Health store transaction - 53968,Pharmacy
Water bill payment - 43602,Utilities
Concert tickets purchase - 16711,Entertainment
Utility bill payment - 56078,Utilities
Medicine purchase - 73069,Pharmacy
Pharmacy store purchase - 29850,Pharmacy
Brunch payment - 52276,Restaurants
Concert tickets purchase - 64065,Entertainment
Electronics store purchase - 79913,Shopping
Concert tickets purchase - 27408,Entertainment
Starbucks coffee purchase - 70444,Restaurants
Grocery store purchase - 55204,Shopping
Mobile phone store purchase - 71864,Shopping
Starbucks coffee purchase - 76415,Restaurants
Health store transaction - 92822,Pharmacy
Medical supplies purchase - 34994,Pharmacy
Payroll deposit - 41043,Salary
Internet service payment - 65177,Utilities
Netflix subscription payment - 53513,Entertainment
Money sent to friend - 51177,Transfer-Out
Petrol station purchase - 63545,Gas
Bank interest payment - 22983,Interest Income
Weekly grocery shopping - 78335,Groceries
Interest income received - 74938,Interest Income
Internet service payment - 07272,Utilities
Monthly salary deposit - 37351,Salary
Streaming service payment - 58123,Entertainment
Gas utility payment - 49066,Utilities
Water bill payment - 26316,Utilities
Vegetable market transaction - 39117,Groceries
Income from employer - 88555,Salary
Water bill payment - 35658,Utilities
Lunch at sushi bar - 70773,Restaurants
Income from employer - 72323,Salary
Netflix subscription payment - 27014,Entertainment
Savings account interest - 78093,Interest Income
Family money transfer - 99835,Transfer-Out
Vegetable market transaction - 30005,Groceries
Grocery store purchase - 15854,Shopping
Movie theater tickets - 74248,Entertainment
Fuel payment - 06356,Gas
Interest income received - 42630,Interest Income
Income from employer - 18575,Salary
Streaming service payment - 98751,Entertainment
Gas station transaction - 31590,Gas
Petrol station purchase - 30896,Gas
Netflix subscription payment - 19297,Entertainment
Lunch at sushi bar - 89190,Restaurants
Theme park ticket purchase - 04175,Entertainment
Shoe store purchase - 95551,Shopping
Movie theater tickets - 97394,Entertainment
Movie theater tickets - 73214,Entertainment
Brunch payment - 84839,Restaurants
Mobile phone store purchase - 96276,Shopping
Savings account interest - 09780,Interest Income
Concert tickets purchase - 51167,Entertainment
Fast food purchase - 88634,Restaurants
Gas refill payment - 19978,Gas
Fuel payment - 81143,Gas
Salary payment - 60004,Salary
Gas refill payment - 03551,Gas
Starbucks coffee purchase - 80914,Restaurants
Interest deposit - 48804,Interest Income
Grocery store payment - 35960,Groceries
Gas utility payment - 12192,Utilities
Shoe store purchase - 72622,Shopping
Weekly grocery shopping - 74559,Groceries
Grocery store payment - 33178,Groceries
Interest income received - 79068,Interest Income
Concert tickets purchase - 30481,Entertainment
Family money transfer - 42651,Transfer-Out
Vegetable market transaction - 93828,Groceries
Gas utility payment - 40872,Utilities
Income from employer - 69124,Salary
Shoe store purchase - 52834,Shopping
Grocery store purchase - 18851,Shopping
Movie theater tickets - 17575,Entertainment
Medical supplies purchase - 05569,Pharmacy
Fuel payment - 16682,Gas
Petrol station purchase - 96829,Gas
Bank interest payment - 35443,Interest Income
Supermarket groceries purchase - 07627,Groceries
Transfer to savings account - 04187,Transfer-Out
Theme park ticket purchase - 76318,Entertainment
Electronics store purchase - 92817,Shopping
Gas station transaction - 46701,Gas
Vegetable market transaction - 16462,Groceries
Grocery store purchase - 74099,Shopping
Salary payment - 90826,Salary
Interest deposit - 17842,Interest Income
Pharmacy store purchase - 07982,Pharmacy
Utility bill payment - 46827,Utilities
Weekly grocery shopping - 63623,Groceries
Payment to Italian restaurant - 74524,Restaurants
Supermarket groceries purchase - 98465,Groceries
Bank wire transfer - 86018,Transfer-Out
Grocery store purchase - 09257,Shopping
Family money transfer - 87064,Transfer-Out
Gas utility payment - 80387,Utilities
Interest income received - 21632,Interest Income
Interest income received - 78283,Interest Income
Netflix subscription payment - 40492,Entertainment
Gas station transaction - 58677,Gas
Gas refill payment - 83678,Gas
Netflix subscription payment - 81763,Entertainment
Water bill payment - 72843,Utilities
Internet service payment - 79315,Utilities
Medical supplies purchase - 25160,Pharmacy
Shoe store purchase - 79681,Shopping
Payroll deposit - 31387,Salary
Vegetable market transaction - 50940,Groceries
Medicine purchase - 62489,Pharmacy
Concert tickets purchase - 48129,Entertainment
Family money transfer - 84554,Transfer-Out
Medical supplies purchase - 35932,Pharmacy
Salary payment - 43925,Salary
Electronics store purchase - 38775,Shopping
Grocery store purchase - 75182,Shopping
Payroll deposit - 82284,Salary
Utility bill payment - 50904,Utilities
Starbucks coffee purchase - 47039,Restaurants
Vegetable market transaction - 28054,Groceries
Gas refill payment - 24563,Gas
Bank wire transfer - 91563,Transfer-Out
Fast food purchase - 07570,Restaurants
Grocery store purchase - 41197,Shopping
Gas station transaction - 09730,Gas
Interest deposit - 76834,Interest Income
Paycheck deposit - 03784,Salary
Fuel payment - 42963,Gas
Grocery store purchase - 28056,Shopping
Electronics store purchase - 09033,Shopping
Bank wire transfer - 30164,Transfer-Out
Medicine purchase - 90613,Pharmacy
Gas refill payment - 78118,Gas
Fast food purchase - 05998,Restaurants
Weekly grocery shopping - 16510,Groceries
Streaming service payment - 16346,Entertainment
Savings account interest - 96021,Interest Income
Water bill payment - 70094,Utilities
Transfer to savings account - 80695,Transfer-Out
Medical supplies purchase - 35234,Pharmacy
Netflix subscription payment - 94400,Entertainment
Amazon online purchase - 56397,Shopping
Fast food purchase - 81087,Restaurants
Bank wire transfer - 13009,Transfer-Out
Interest credited - 35864,Interest Income
Medical supplies purchase - 85602,Pharmacy
Water bill payment - 87022,Utilities
Transfer to savings account - 03912,Transfer-Out
Netflix subscription payment - 99838,Entertainment
Lunch at sushi bar - 12684,Restaurants
Account transfer - 28726,Transfer-Out
Savings account interest - 38172,Interest Income
Brunch payment - 07160,Restaurants
Shoe store purchase - 17051,Shopping
Organic store purchase - 22827,Groceries
Interest credited - 95419,Interest Income
Utility bill payment - 12817,Utilities
Electronics store purchase - 43747,Shopping
Medicine purchase - 77001,Pharmacy
Grocery store payment - 32631,Groceries
Vegetable market transaction - 01164,Groceries
Electricity bill payment - 86215,Utilities
Monthly salary deposit - 10507,Salary
Salary payment - 09600,Salary
Brunch payment - 71265,Restaurants
Shoe store purchase - 69962,Shopping
Family money transfer - 47663,Transfer-Out
Utility bill payment - 91531,Utilities
Gas refill payment - 98308,Gas
Fuel purchase at gas station - 47524,Gas
Paycheck deposit - 94474,Salary
Savings account interest - 33372,Interest Income
Concert tickets purchase - 59773,Entertainment
Gas utility payment - 87333,Utilities
Electricity bill payment - 54998,Utilities
Interest income received - 13869,Interest Income
Interest credited - 90251,Interest Income
Money sent to friend - 65813,Transfer-Out
Concert tickets purchase - 74675,Entertainment
Payment to Italian restaurant - 70080,Restaurants
Amazon online purchase - 93793,Shopping
Amazon online purchase - 63943,Shopping
Fuel payment - 38181,Gas
Grocery store purchase - 94566,Shopping
Grocery store payment - 96147,Groceries
Gas refill payment - 44759,Gas
Income from employer - 51899,Salary
Account transfer - 89801,Transfer-Out
Organic store purchase - 91991,Groceries
Salary payment - 79067,Salary
Fast food purchase - 84181,Restaurants
Vegetable market transaction - 90316,Groceries
Weekly grocery shopping - 44077,Groceries
Electricity bill payment - 30890,Utilities
Transfer to savings account - 31436,Transfer-Out
Organic store purchase - 38874,Groceries
Paycheck deposit - 97542,Salary
Electricity bill payment - 89880,Utilities
Fuel purchase at gas station - 21052,Gas
Shoe store purchase - 00886,Shopping
Petrol station purchase - 68487,Gas
Grocery store purchase - 17170,Shopping
Shoe store purchase - 07200,Shopping
Payroll deposit - 18747,Salary
Internet service payment - 75845,Utilities
Electronics store purchase - 92851,Shopping
Shoe store purchase - 18723,Shopping
Account transfer - 65248,Transfer-Out
Streaming service payment - 08621,Entertainment
Payment to Italian restaurant - 49074,Restaurants
Electricity bill payment - 96379,Utilities
Transfer to savings account - 57338,Transfer-Out
Income from employer - 34572,Salary
Fuel purchase at gas station - 64837,Gas
Savings account interest - 84173,Interest Income
Lunch at sushi bar - 73813,Restaurants
Interest credited - 19204,Interest Income
Weekly grocery shopping - 14188,Groceries
Grocery store payment - 16448,Groceries
Electricity bill payment - 31976,Utilities
Gas station transaction - 54249,Gas
Fuel payment - 66411,Gas
Weekly grocery shopping - 78839,Groceries
Shoe store purchase - 44232,Shopping
Income from employer - 75531,Salary
Fuel payment - 75976,Gas
Theme park ticket purchase - 58383,Entertainment
Petrol station purchase - 35499,Gas
Supermarket groceries purchase - 47721,Groceries
Brunch payment - 26384,Restaurants
Fuel payment - 94382,Gas
Streaming service payment - 62085,Entertainment
Health store transaction - 23782,Pharmacy
Concert tickets purchase - 20643,Entertainment
Gas refill payment - 65571,Gas
Organic store purchase - 27411,Groceries
Payment to Italian restaurant - 03418,Restaurants
Interest deposit - 04316,Interest Income
Starbucks coffee purchase - 37057,Restaurants
Gas refill payment - 00159,Gas
Movie theater tickets - 79347,Entertainment
Utility bill payment - 55631,Utilities
Electronics store purchase - 41922,Shopping
Pharmacy store purchase - 08202,Pharmacy
Concert tickets purchase - 91336,Entertainment
Interest income received - 52074,Interest Income
Shoe store purchase - 20243,Shopping
Grocery store purchase - 85831,Shopping
Fast food purchase - 25512,Restaurants
Account transfer - 33212,Transfer-Out
Brunch payment - 66541,Restaurants
Brunch payment - 87825,Restaurants
Grocery store payment - 88306,Groceries
Account transfer - 20088,Transfer-Out
Theme park ticket purchase - 93396,Entertainment
Gas refill payment - 45769,Gas
Grocery store purchase - 10000,Shopping
Supermarket groceries purchase - 33510,Groceries
Concert tickets purchase - 97326,Entertainment
Supermarket groceries purchase - 83298,Groceries
Movie theater tickets - 97609,Entertainment
Water bill payment - 00285,Utilities
Health store transaction - 27471,Pharmacy
Mobile phone store purchase - 60484,Shopping
Fast food purchase - 86987,Restaurants
Water bill payment - 80282,Utilities
Electricity bill payment - 90585,Utilities
Water bill payment - 77203,Utilities
Gas utility payment - 16351,Utilities
Income from employer - 14432,Salary
Gas utility payment - 49021,Utilities
Income from employer - 45683,Salary
Petrol station purchase - 36785,Gas
Theme park ticket purchase - 04150,Entertainment
Grocery store purchase - 09612,Shopping
Income from employer - 17753,Salary
Interest credited - 57692,Interest Income
Water bill payment - 88107,Utilities
Pharmacy store purchase - 49637,Pharmacy
Grocery store payment - 50800,Groceries
Electronics store purchase - 17029,Shopping
Bank interest payment - 60533,Interest Income
Organic store purchase - 69656,Groceries
Brunch payment - 30783,Restaurants
Pharmacy store purchase - 45896,Pharmacy
Brunch payment - 04945,Restaurants
Electronics store purchase - 77947,Shopping
Streaming service payment - 90378,Entertainment
Streaming service payment - 40187,Entertainment
Prescription payment - 01258,Pharmacy
Pharmacy store purchase - 21514,Pharmacy
Fuel purchase at gas station - 23118,Gas
Theme park ticket purchase - 40789,Entertainment
Interest income received - 32854,Interest Income
Electricity bill payment - 11795,Utilities
Utility bill payment - 36056,Utilities
Pharmacy store purchase - 40470,Pharmacy
Amazon online purchase - 86452,Shopping
Fuel purchase at gas station - 00116,Gas
Health store transaction - 54965,Pharmacy
Grocery store purchase - 02373,Shopping
Monthly salary deposit - 50525,Salary
Grocery store payment - 32426,Groceries
Utility bill payment - 21568,Utilities
Electronics store purchase - 68174,Shopping
Grocery store purchase - 16469,Shopping
Organic store purchase - 04870,Groceries
Income from employer - 48294,Salary
Prescription payment - 67152,Pharmacy
Mobile phone store purchase - 54577,Shopping
Starbucks coffee purchase - 22693,Restaurants
Medical supplies purchase - 33953,Pharmacy
Bank wire transfer - 96654,Transfer-Out
Mobile phone store purchase - 95606,Shopping
Weekly grocery shopping - 52932,Groceries
Netflix subscription payment - 91362,Entertainment
Family money transfer - 61678,Transfer-Out
Grocery store payment - 63537,Groceries
Bank wire transfer - 17862,Transfer-Out
Paycheck deposit - 88337,Salary
Family money transfer - 51629,Transfer-Out
Prescription payment - 01994,Pharmacy
Medical supplies purchase - 85429,Pharmacy
Gas utility payment - 14311,Utilities
Payment to Italian restaurant - 82527,Restaurants
Interest credited - 06019,Interest Income
Weekly grocery shopping - 42652,Groceries
Health store transaction - 81532,Pharmacy
Interest credited - 50156,Interest Income
Organic store purchase - 12426,Groceries
Gas station transaction - 20648,Gas
Savings account interest - 21074,Interest Income
Interest deposit - 70726,Interest Income
Interest deposit - 30534,Interest Income
Netflix subscription payment - 10861,Entertainment
Interest credited - 23278,Interest Income
Interest deposit - 89656,Interest Income
Mobile phone store purchase - 70530,Shopping
Savings account interest - 90223,Interest Income
Organic store purchase - 12555,Groceries
Movie theater tickets - 93709,Entertainment
Grocery store purchase - 60094,Shopping
Grocery store payment - 82923,Groceries
Pharmacy store purchase - 20067,Pharmacy
Fuel payment - 59828,Gas
Streaming service payment - 70181,Entertainment
Mobile phone store purchase - 53151,Shopping
Starbucks coffee purchase - 87505,Restaurants
Brunch payment - 10118,Restaurants
Payroll deposit - 74477,Salary
Petrol station purchase - 70304,Gas
Utility bill payment - 57846,Utilities
Health store transaction - 75842,Pharmacy
Interest credited - 54825,Interest Income
Salary payment - 19320,Salary
Water bill payment - 72774,Utilities
Money sent to friend - 63202,Transfer-Out
Internet service payment - 44484,Utilities
Interest income received - 21613,Interest Income
Income from employer - 98802,Salary
Medical supplies purchase - 49843,Pharmacy
Netflix subscription payment - 91917,Entertainment
Supermarket groceries purchase - 02504,Groceries
Family money transfer - 33385,Transfer-Out
Utility bill payment - 45657,Utilities
Pharmacy store purchase - 91837,Pharmacy
Grocery store payment - 19033,Groceries
Payment to Italian restaurant - 39154,Restaurants
Gas refill payment - 52900,Gas
Starbucks coffee purchase - 77291,Restaurants
Electricity bill payment - 04869,Utilities
Internet service payment - 55976,Utilities
Payroll deposit - 16752,Salary
Money sent to friend - 20435,Transfer-Out
Utility bill payment - 05828,Utilities
Medicine purchase - 82941,Pharmacy
Grocery store purchase - 54352,Shopping
Concert tickets purchase - 69679,Entertainment
Brunch payment - 44493,Restaurants
Monthly salary deposit - 34993,Salary
Theme park ticket purchase - 42283,Entertainment
Account transfer - 58107,Transfer-Out
Petrol station purchase - 48976,Gas
Fuel purchase at gas station - 01193,Gas
Payroll deposit - 01309,Salary
Shoe store purchase - 68113,Shopping
Electricity bill payment - 22806,Utilities
Fuel purchase at gas station - 48175,Gas
Gas utility payment - 22331,Utilities
Utility bill payment - 35274,Utilities
Netflix subscription payment - 62470,Entertainment
Fast food purchase - 81917,Restaurants
Weekly grocery shopping - 65741,Groceries
Medical supplies purchase - 37863,Pharmacy
Interest credited - 30883,Interest Income
Utility bill payment - 63731,Utilities
Income from employer - 69781,Salary
Fuel payment - 44918,Gas
Streaming service payment - 69974,Entertainment
Starbucks coffee purchase - 78304,Restaurants
Medicine purchase - 23675,Pharmacy
Prescription payment - 89664,Pharmacy
Brunch payment - 95294,Restaurants
Weekly grocery shopping - 05908,Groceries
Savings account interest - 96235,Interest Income
Internet service payment - 36029,Utilities
Organic store purchase - 25094,Groceries
Interest income received - 49828,Interest Income
Prescription payment - 08777,Pharmacy
Transfer to savings account - 45557,Transfer-Out
Theme park ticket purchase - 53526,Entertainment
Amazon online purchase - 69017,Shopping
Grocery store payment - 66492,Groceries
Fuel payment - 09355,Gas
Shoe store purchase - 98802,Shopping
Grocery store payment - 14177,Groceries
Gas utility payment - 16207,Utilities
Paycheck deposit - 31979,Salary
Transfer to savings account - 91356,Transfer-Out
Theme park ticket purchase - 97333,Entertainment
Interest income received - 87416,Interest Income
Gas utility payment - 70926,Utilities
Gas utility payment - 73610,Utilities
Water bill payment - 03996,Utilities
Interest income received - 98085,Interest Income
Pharmacy store purchase - 54557,Pharmacy
Grocery store purchase - 87625,Shopping
Bank interest payment - 01969,Interest Income
Organic store purchase - 92899,Groceries
Monthly salary deposit - 47402,Salary
Fuel purchase at gas station - 89683,Gas
Amazon online purchase - 73155,Shopping
Electronics store purchase - 03779,Shopping
Grocery store purchase - 98596,Shopping
Mobile phone store purchase - 70946,Shopping
Supermarket groceries purchase - 10908,Groceries
Brunch payment - 84119,Restaurants
Movie theater tickets - 31971,Entertainment
Brunch payment - 27198,Restaurants
Medicine purchase - 90527,Pharmacy
Theme park ticket purchase - 50261,Entertainment
Health store transaction - 34592,Pharmacy
Streaming service payment - 81464,Entertainment
Mobile phone store purchase - 57658,Shopping
Transfer to savings account - 92722,Transfer-Out
Payment to Italian restaurant - 61295,Restaurants
Movie theater tickets - 80121,Entertainment
Amazon online purchase - 34664,Shopping
Concert tickets purchase - 23886,Entertainment
Utility bill payment - 94241,Utilities
Brunch payment - 52122,Restaurants
Gas refill payment - 74704,Gas
Grocery store payment - 46243,Groceries
Gas refill payment - 29024,Gas
Streaming service payment - 59175,Entertainment
Amazon online purchase - 85340,Shopping
Electronics store purchase - 82299,Shopping
Bank wire transfer - 75145,Transfer-Out
Fuel purchase at gas station - 36550,Gas
Concert tickets purchase - 13728,Entertainment
Money sent to friend - 66953,Transfer-Out
Savings account interest - 68383,Interest Income
Streaming service payment - 32900,Entertainment
Money sent to friend - 28249,Transfer-Out
Shoe store purchase - 69417,Shopping
Netflix subscription payment - 02949,Entertainment
Family money transfer - 80960,Transfer-Out
Vegetable market transaction - 56706,Groceries
Medicine purchase - 66088,Pharmacy
Theme park ticket purchase - 81525,Entertainment
Brunch payment - 69751,Restaurants
Grocery store purchase - 02117,Shopping
Gas station transaction - 81204,Gas
Money sent to friend - 07737,Transfer-Out
Organic store purchase - 10940,Groceries
Monthly salary deposit - 56817,Salary
Movie theater tickets - 11282,Entertainment
Medical supplies purchase - 85959,Pharmacy
Account transfer - 81955,Transfer-Out
Utility bill payment - 18436,Utilities
Lunch at sushi bar - 43598,Restaurants
Electronics store purchase - 92791,Shopping
Utility bill payment - 95715,Utilities
Medicine purchase - 72085,Pharmacy
Electronics store purchase - 50502,Shopping
Medicine purchase - 80481,Pharmacy
Movie theater tickets - 56075,Entertainment
Income from employer - 12807,Salary
Payment to Italian restaurant - 87017,Restaurants
Transfer to savings account - 01907,Transfer-Out
Health store transaction - 06901,Pharmacy
Salary payment - 31967,Salary
Grocery store payment - 08654,Groceries
Gas utility payment - 90175,Utilities
Starbucks coffee purchase - 30405,Restaurants
Starbucks coffee purchase - 83607,Restaurants
Vegetable market transaction - 13147,Groceries
Medicine purchase - 93031,Pharmacy
Family money transfer - 75044,Transfer-Out
Theme park ticket purchase - 66439,Entertainment
Bank wire transfer - 10201,Transfer-Out
Bank interest payment - 81550,Interest Income
Grocery store payment - 54821,Groceries
Streaming service payment - 63261,Entertainment
Interest deposit - 67566,Interest Income
Organic store purchase - 20871,Groceries
Prescription payment - 23708,Pharmacy
Bank interest payment - 96193,Interest Income
Supermarket groceries purchase - 17735,Groceries
Fuel payment - 18764,Gas
Organic store purchase - 78595,Groceries
Lunch at sushi bar - 73551,Restaurants
Weekly grocery shopping - 71666,Groceries
Monthly salary deposit - 26922,Salary
Concert tickets purchase - 98155,Entertainment
Mobile phone store purchase - 78807,Shopping
Gas utility payment - 48109,Utilities
Streaming service payment - 06416,Entertainment
Movie theater tickets - 88799,Entertainment
Bank wire transfer - 49909,Transfer-Out
Interest deposit - 75092,Interest Income
Payment to Italian restaurant - 53458,Restaurants
Pharmacy store purchase - 23472,Pharmacy
Vegetable market transaction - 17406,Groceries
Theme park ticket purchase - 37103,Entertainment
Shoe store purchase - 86512,Shopping
Theme park ticket purchase - 53019,Entertainment
Concert tickets purchase - 81261,Entertainment
Theme park ticket purchase - 23020,Entertainment
Grocery store payment - 54786,Groceries
Paycheck deposit - 43470,Salary
Shoe store purchase - 74899,Shopping
Fast food purchase - 83368,Restaurants
Brunch payment - 14370,Restaurants
Gas station transaction - 23045,Gas
Interest deposit - 16476,Interest Income
Petrol station purchase - 25270,Gas
Netflix subscription payment - 80541,Entertainment
Grocery store payment - 46581,Groceries
Lunch at sushi bar - 23706,Restaurants
Electricity bill payment - 60357,Utilities
Weekly grocery shopping - 59742,Groceries
Gas refill payment - 77667,Gas
Family money transfer - 86867,Transfer-Out
Electricity bill payment - 82533,Utilities
Money sent to friend - 15278,Transfer-Out
Bank wire transfer - 78981,Transfer-Out
Netflix subscription payment - 77459,Entertainment
Brunch payment - 60516,Restaurants
Utility bill payment - 90473,Utilities
Streaming service payment - 63696,Entertainment
Medicine purchase - 65082,Pharmacy
Starbucks coffee purchase - 98116,Restaurants
Family money transfer - 35815,Transfer-Out
Payroll deposit - 64273,Salary
Bank interest payment - 40804,Interest Income
Interest income received - 66115,Interest Income
Account transfer - 97212,Transfer-Out
Medicine purchase - 27356,Pharmacy
Payment to Italian restaurant - 81706,Restaurants
Prescription payment - 69391,Pharmacy
Interest deposit - 20168,Interest Income
Payment to Italian restaurant - 93060,Restaurants
Transfer to savings account - 83478,Transfer-Out
Medicine purchase - 89660,Pharmacy
Paycheck deposit - 62845,Salary
Interest credited - 09877,Interest Income
Interest credited - 53508,Interest Income
Utility bill payment - 99590,Utilities
Supermarket groceries purchase - 35501,Groceries
Theme park ticket purchase - 29937,Entertainment
Gas station transaction - 39150,Gas
Lunch at sushi bar - 88116,Restaurants
Brunch payment - 17256,Restaurants
Gas refill payment - 45312,Gas
